method,game,bin,mean,std,seeds,sem,agent_steps,source_note
DreamerV3,alien,0.0,227.2619047619048,64.53446142967447,5,28.86068852961808,2500.0,n=5 seeds; training episodes
DreamerV3,alien,1.0,198.82142857142856,35.554239607698456,5,15.90033933022584,7500.0,n=5 seeds; training episodes
DreamerV3,alien,2.0,207.6111111111112,25.926765032717213,5,11.59480180996405,12500.0,n=5 seeds; training episodes
DreamerV3,alien,3.0,307.33333333333337,86.98677750024163,5,38.9016695268379,17500.0,n=5 seeds; training episodes
DreamerV3,alien,4.0,315.35555555555555,53.11795850211206,5,23.75507320734709,22500.0,n=5 seeds; training episodes
DreamerV3,alien,5.0,436.2714285714286,74.94944554668236,5,33.51841102366013,27500.0,n=5 seeds; training episodes
DreamerV3,alien,6.0,438.15,120.09665378352555,5,53.70885634604409,32500.0,n=5 seeds; training episodes
DreamerV3,alien,7.0,483.5277777777777,84.80207985016393,5,37.92464303566634,37500.0,n=5 seeds; training episodes
DreamerV3,alien,8.0,556.2142857142857,150.34300705522745,5,67.23543674344381,42500.0,n=5 seeds; training episodes
DreamerV3,alien,9.0,496.7222222222223,59.492581755632536,5,26.605891392511623,47500.0,n=5 seeds; training episodes
DreamerV3,alien,10.0,576.5357142857143,86.30152261763665,5,38.59521422695423,52500.0,n=5 seeds; training episodes
DreamerV3,alien,11.0,548.1731601731601,68.12330616509128,5,30.46566868743492,57500.0,n=5 seeds; training episodes
DreamerV3,alien,12.0,603.7460317460317,67.98846477828083,5,30.405365786017217,62500.0,n=5 seeds; training episodes
DreamerV3,alien,13.0,691.1428571428571,206.3368555522345,5,92.27664705567028,67500.0,n=5 seeds; training episodes
DreamerV3,alien,14.0,628.3571428571429,95.699001903988,5,42.79789472723979,72500.0,n=5 seeds; training episodes
DreamerV3,alien,15.0,739.5285714285714,249.6212212165317,5,111.63400385333551,77500.0,n=5 seeds; training episodes
DreamerV3,alien,16.0,784.0952380952381,340.71347043262074,5,152.37169614744093,82500.0,n=5 seeds; training episodes
DreamerV3,alien,17.0,796.3690476190476,225.30302880842376,5,100.7585775904458,87500.0,n=5 seeds; training episodes
DreamerV3,alien,18.0,680.9166666666667,128.82697267610106,5,57.61317364785399,92500.0,n=5 seeds; training episodes
DreamerV3,alien,19.0,819.5952380952382,130.19629127989222,5,58.22555154404042,97500.0,n=5 seeds; training episodes
DreamerV3,amidar,0.0,2.925,1.245617316835311,5,0.5570569988789297,2500.0,n=5 seeds; training episodes
DreamerV3,amidar,1.0,2.3916666666666666,1.1960744691709078,5,0.5349007638436253,7500.0,n=5 seeds; training episodes
DreamerV3,amidar,2.0,18.58888888888889,13.504052461034442,5,6.039195854919268,12500.0,n=5 seeds; training episodes
DreamerV3,amidar,3.0,34.871428571428574,9.413732912449705,5,4.209949342852922,17500.0,n=5 seeds; training episodes
DreamerV3,amidar,4.0,36.72055555555556,8.933404936832995,5,3.995140141858158,22500.0,n=5 seeds; training episodes
DreamerV3,amidar,5.0,46.87857142857143,16.39557244863281,5,7.332322905033127,27500.0,n=5 seeds; training episodes
DreamerV3,amidar,6.0,50.44285714285714,9.306624807421992,5,4.1620491420962935,32500.0,n=5 seeds; training episodes
DreamerV3,amidar,7.0,68.74047619047619,47.305706129099946,5,21.155754925659185,37500.0,n=5 seeds; training episodes
DreamerV3,amidar,8.0,65.04698412698413,27.178238950704245,5,12.154477960501447,42500.0,n=5 seeds; training episodes
DreamerV3,amidar,9.0,71.92857142857142,27.9611468544902,5,12.504605019098902,47500.0,n=5 seeds; training episodes
DreamerV3,amidar,10.0,77.44269841269842,31.925823529458725,5,14.277662329906391,52500.0,n=5 seeds; training episodes
DreamerV3,amidar,11.0,80.52261904761905,15.1890372415194,5,6.792743956962653,57500.0,n=5 seeds; training episodes
DreamerV3,amidar,12.0,94.81666666666666,29.39837427005483,5,13.147352659164673,62500.0,n=5 seeds; training episodes
DreamerV3,amidar,13.0,87.38888888888889,29.04640469315243,5,12.98994707917155,67500.0,n=5 seeds; training episodes
DreamerV3,amidar,14.0,96.4126984126984,32.94837852638983,5,14.734962826680402,72500.0,n=5 seeds; training episodes
DreamerV3,amidar,15.0,101.0142857142857,31.231409890026107,5,13.96711110945152,77500.0,n=5 seeds; training episodes
DreamerV3,amidar,16.0,107.74357142857144,29.84664720684378,5,13.347826410991384,82500.0,n=5 seeds; training episodes
DreamerV3,amidar,17.0,108.84285714285716,28.618570236094552,5,12.798613693351925,87500.0,n=5 seeds; training episodes
DreamerV3,amidar,18.0,110.55714285714284,33.823989192553256,5,15.12654782095346,92500.0,n=5 seeds; training episodes
DreamerV3,amidar,19.0,107.0968253968254,23.36149930517817,5,10.4475801005385,97500.0,n=5 seeds; training episodes
DreamerV3,assault,0.0,243.75,25.06311477494811,5,11.208565672932664,2500.0,n=5 seeds; training episodes
DreamerV3,assault,1.0,241.275,42.06156202520301,5,18.81050238563553,7500.0,n=5 seeds; training episodes
DreamerV3,assault,2.0,413.945,53.97574223667516,5,24.13868575544244,12500.0,n=5 seeds; training episodes
DreamerV3,assault,3.0,421.505,62.66827945619698,5,28.026106579402,17500.0,n=5 seeds; training episodes
DreamerV3,assault,4.0,472.79,59.097466104732455,5,26.429190301634293,22500.0,n=5 seeds; training episodes
DreamerV3,assault,5.0,452.6233333333333,136.78145362422333,5,61.17052567299967,27500.0,n=5 seeds; training episodes
DreamerV3,assault,6.0,458.38,101.77562085293312,5,45.51544133588072,32500.0,n=5 seeds; training episodes
DreamerV3,assault,7.0,464.625,116.45181675268104,5,52.07883567246871,37500.0,n=5 seeds; training episodes
DreamerV3,assault,8.0,474.09,69.55575461455365,5,31.10627910888733,42500.0,n=5 seeds; training episodes
DreamerV3,assault,9.0,535.76,86.60939902805008,5,38.73290074342484,47500.0,n=5 seeds; training episodes
DreamerV3,assault,10.0,575.0266666666666,20.14642786092752,5,9.00975644016592,52500.0,n=5 seeds; training episodes
DreamerV3,assault,11.0,517.8,31.464265445104537,5,14.071247279470285,57500.0,n=5 seeds; training episodes
DreamerV3,assault,12.0,590.13,33.72012752051807,5,15.080099469167967,62500.0,n=5 seeds; training episodes
DreamerV3,assault,13.0,608.96,49.4419659803289,5,22.11111937464949,67500.0,n=5 seeds; training episodes
DreamerV3,assault,14.0,584.2,89.4739068108686,5,40.01394756831672,72500.0,n=5 seeds; training episodes
DreamerV3,assault,15.0,606.6566666666666,52.96481221842794,5,23.68658410718326,77500.0,n=5 seeds; training episodes
DreamerV3,assault,16.0,641.98,60.744810477932994,5,27.16590510179993,82500.0,n=5 seeds; training episodes
DreamerV3,assault,17.0,607.11,72.34492380257237,5,32.35363348991888,87500.0,n=5 seeds; training episodes
DreamerV3,assault,18.0,608.0457142857142,88.24482027928012,5,39.464283361344464,92500.0,n=5 seeds; training episodes
DreamerV3,assault,19.0,617.24,66.15400970462787,5,29.58497253674573,97500.0,n=5 seeds; training episodes
DreamerV3,asterix,0.0,256.11111111111114,23.114425780216568,5,10.337085461087572,2500.0,n=5 seeds; training episodes
DreamerV3,asterix,1.0,271.5535161432994,56.26660783286618,5,25.16319199552218,7500.0,n=5 seeds; training episodes
DreamerV3,asterix,2.0,272.5238095238095,122.67931944505207,5,54.86385954250965,12500.0,n=5 seeds; training episodes
DreamerV3,asterix,3.0,346.8333333333333,132.1866709325196,5,59.11567638490187,17500.0,n=5 seeds; training episodes
DreamerV3,asterix,4.0,317.88461538461536,61.19461899399206,5,27.36706558555321,22500.0,n=5 seeds; training episodes
DreamerV3,asterix,5.0,311.5360918321445,54.903698553288905,5,24.55368043626217,27500.0,n=5 seeds; training episodes
